"INDEX_NR","INCIDENT_DATE","AIRPORT","STATE","OPERATOR","AIRCRAFT","COST_REPAIRS_INFL_ADJ","SPECIES","REMARKS"
935515,2019-04-01,"SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","US CUSTOMS AND BORDER PROTECTION","DRONE",NA,"Northern house wren","Evidence of the bird strike on the payload camera was found after landing. Since the long range camera (where the bird struck) was used during the enroute portion of the flight but not the approach, strike was presumed to occur during the approach or landing. There was no damage to the aircraft.changed from MQ9 (UA) to drone"
971529,2019-11-17,"DENVER INTL AIRPORT","CO","TRANS STATES AIRLINES","EMB-145",NA,"Golden eagle","Eagle body/wing found on RWY and head/wing found on TWY D5, fall off landing gear as it taxied in"
994853,2017-10-23,"WILEY POST-WILL ROGERS MEM","AK","ALASKA AIRLINES","B-737-700",NA,"Bearded seal","No actual strike.  A bearded seal was loafing at about the midpoint of the runway.  Because it is a marine mammal the appropriate personnel had to be contacted to address the situation.  The airport was closed for a period which delayed an outbound flight and an inbound flight had to circle until the seal was removed from the runway.No actual strike.  Closed airport.  Delayed departure of an aircraft and an inbound flight had to circle until the airport was reopened."
1019865,2020-07-24,"CORPUS CHRISTI INTL ARPT","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","Dead Nightjar found on RWY 13 during inspection.  Possibly struck by Coast Guard 2308 as they were the last ones on the runway before bird was found and bird was mostly whole. NIGHT. Nightjar/Common Pauraque"
1032685,2019-08-26,"CLEVELAND-HOPKINS INTL ARPT","OH","UNKNOWN","UNKNOWN",NA,"Common nighthawk","DAWN. REPORTED SPECIES AS NIGHTHAWK. 2.12.2020 emailed reporter to confirm band#1202-580. Bird was an orphan, hand-reared to releasable age on August 25, 2019 at Coe Lake, near Berea OH."
1033970,2016-09-13,"POLACCA ARPT","AZ","US CUSTOMS AND BORDER PROTECTION","EC120",NA,"Lesser nighthawk","No Damage to aircraft"
1038056,2020-09-14,"LUIS MUNOZ MARIN INTL","PR","US CUSTOMS AND BORDER PROTECTION","C-130",NA,"Semipalmated sandpiper","Pilot reported bird strike upon landing on RW 8-26. Three (3) small sandpipers were found during inspection. No damage to aircraft reported."
1039159,2020-09-25,"CAPITAL REGION INTL ARPT","MI","UNKNOWN","UNKNOWN",NA,"Kirtland's warbler","1 Kirtland's Warbler found on TWY H @ TWY D during standard ramp check.  Remains removed and disposed of. NOTE: NO PHOTO TAKEN.  Airport Ops reported ""Based on markings, it appeared to be a Kirtland's warbler""."
1062559,2020-08-02,"REID-HILLVIEW ARPT OF SANTA CLARA CNTY","CA","BUSINESS","C-172",12110,"Golden eagle","5 inches of leading edge damaged back to the spar. GOLF NOVEMBER AERO LLC. ""Original report stated Geese. Aviation Accident Summary WPR20LA256.Smithsonian Wildlife/Species Identification:Golden eagle (Aquila chrysaetos)Smithsonian Wildlife Identification Comments:Smithsonian remains received via NTSB investigator. Bird remains from aircraft and photographs from bird on ground are Golden Eagle NTSB # WPR20LA256  PENDING NTSB INVESTIGATION AS OF 11.5.2020.Continued approach to landing"
1082506,2005-07-26,"NASA SHUTTLE LANDING FACILITY","FL","GOVERNMENT","SPACE SHUTTLE",NA,"Turkey vulture","JUST AFTER LIFT-OFF, THE SPACE SHUTTLE  ""'DISCOVERY"" STRUCK AT LEAST 1 TURKEY VULTURE. NO OBVIOUS DAMAGE. NO REMAINS FOUND, BIRD THOUGHT TO HAVE BEEN VAPORIZED BY ROCKET PLUMES"
1087098,2010-10-27,"HENDERSON FIELD","UM","US COAST GUARD","LOCKHEED C-130",NA,"Brown noddy","PILOT REPTD SEEING A SML FLOCK OF ABOUT 5 BIRDS JUST AS HE WAS TOUCHING DOWN AND THOUGHT HE HIT THEM ALL. ONLY 1 CARCASS WAS FOUND, A BROWN NODDY CUT CLEAN IN HALF BY THE PROPELLER. NO DMG WAS REPTD. A/C LANDED SAFELY & DEPARTED W/O INCIDENT."
1091726,2020-08-15,"DENVER INTL AIRPORT","CO","SOUTHWEST AIRLINES","B-737-800",NA,"Golden eagle","Departing aircraft (N8555Z) SW007 DEN - LAX, reported hitting a bird departing RWY 34L. No damage reported and the flight continued to destination. Runway inspected. 1 large eagle found near D6. Eagle was dead but intact. Eagle removed from runway. aircraft also struck WTJR (2020-08-15-224921)"
1097095,2018-05-03,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","DAY 737."
1098850,2020-03-12,"JOHN F KENNEDY INTL","NY","BRITISH AIRWAYS","B-777-200",NA,"Red-tailed hawk","I interviewed pilot. He stated the plane hit a bird on the landing roll on Runway 4R and Txwy H. I then spoke with British Engineer and we did an thorough examination of the area that was hit and stated there was not any damage to the aircraft. BIRD BAND NUMBER= 196716629. Bird was originally trapped at JFK in 2017 and relocated 45 miles NNW to Harriman State Park, NY. ADDITIONAL SOURCE= DAILY ALERT BULLETIN"
1103031,2013-10-09,"SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","US CUSTOMS AND BORDER PROTECTION","DRONE",NA,"Great horned owl","BIRD HIT THE WING. NO DMG. changed from MQ9 (UA) to drone"
1121182,2000-04-19,"UNKNOWN",NA,"PRIVATELY OWNED","PA-28",909,"Golden eagle","EAGLE PENETRATED WINDSCREEN FROM HIGH ANGLE DIVE 50-60 DEGREES. INJURED RIGHT SEAT INSTRUCTOR, PENETRATED AFT BULKHEAD, IMPACTED AVIONICS BAY, ELEVATOR CONTROL HORN, PITCHING A/C VERTICALLY INTO DIVE. RECOVERED, LANDED KPVU WITH MINIMAL ACTUAL DAMAGE. OTHER THAN TO PASSENGER. CONVINCED STRIKE WAS FROM AN INTENTIONAL DIVE ON THE PART OF THE EAGLE. PERHAPS A TERRITORIAL ATTACK. PAX WAS TRANSPORTED TO HOSPITAL. ONLY HAD A SUPERFICIAL SCALP WOUND. PHOTOSNOTE: NOTE: BIRD MIGHT HAVE ATTACKED AIRCRAFT"
1129387,2018-12-03,"RENO/STEAD ARPT","NV","BUSINESS","C-182",6240,"Golden eagle","left wing; leading edge and top of wing. twisted spar.1.0 mi south of rw32, ILS approach. NOTE: height reported as 6900 feet, based off of distance assume height was reported in MSL."
1133439,2019-10-21,"UNKNOWN",NA,"BUSINESS","EC130",NA,"Snow goose","Aircraft was flying at 1200' MSL. ONE PHOTOCoordinates:  39 22 40.8/121 40 02.4  Report was entered by C.Dove (Smithsonian) via correspondence with Eliott Simpson (NTSB).  No remains sent for id, but photo of snow goose attached here.ASSUME 1 STRUCK.MEDICAL TRANSPORT. OWNER/OPERATOR = ENLOE MEDICAL CENTER DBA. photo.While returning from an inter-facility transfer from Sacramento to Chico California, at 0159 in the morning, the helicopter struck a goose on the left side windscreen (pilot side) at eye level. The bird shattered the top-half of the windscreen striking the PIC in the head then striking the flight medic behind him in the face shield of his helmet before finally lodging between the backseat and the rear bulkhead. The aircraft was in cruise flight at 1200ft MSL traveling at approx. 130 KIAS. The pilot and crew were flying under night vision goggles. The pilot and did not see the bird prior to impact. The nurse seated in the right rear and under goggles, saw the bird from right to left just before it impacted the pilot windscreen. There was no time for warning. After impact the PIC reduced speed to 55-60 KIAS. The flight nurse made immediate contact with MedComm to activate the program's Post Accident/ Incident plan. During this, the medic activated the emergency switch on the Honeywell flight tracker. Once the speed was reduced, the PIC tried to clear his NVG's from his vision as they were broken and suspended in front of his face. The crew immediately check to see if the PIC was okay since he took the brunt of the goose impact to his face and head. It took a minute for him to respond in the affirmative since his microphone had been knocked back and away. Once the crew determined that everyone was OK, the medic cut away the cord that held the suspended NVG's. The PIC assessed the aircraft condition and flight controls and felt no abnormalities or unusual vibration.  As the team discussed their options, the flight nurse offered to trade helmets with the PIC since he still had functioning NVG's. The PIC decided against the change and all agreed it would safer to continue the flight to Oroville airport (KOVE) and land in a well-lit, familiar area. The flight nurse continued to update the Comm Center for the next several minutes of the flight. The aircraft landed at KOVE without further incident. After the shutdown, the pilot was treated for several minor cuts to the face from plexi glass. A walk around revealed a second bird had struck the right horizontal stabilizer. A 3-inch crack was also discovered on the pilots door window. There were no serious injuries and the team decided a safety stand down would commence for the duration of the shift. NOTE: OWNER/ OPERATOR= ENLOE MEDICAL CENTER DBA/ ENLOE FLIGHTCARE."
1134028,2020-07-21,"UNKNOWN",NA,"GOVERNMENT","DRONE",NA,"Bald eagle","Mapping shoreline erosion near Escanaba in Michigan's UP. The strike (bald eagle attack) occurred Enroute at 162 ft AGL. The $950 drone was destroyed. Operator was GOV (Department of Environment, Great Lakes and Energy). Source: Bald eagle attacks drone, sends it into Lake Michigan - Los Angeles Times (latimes.com) and Bald eagle wins duel with state's $950 drone, sending it to the bottom of Lake Michigan - CBS News. DJI Phantom 4 Pro Advanced. Entered 12.31.2020 per RD.NOTE: BIRD MIGHT HAVE ATTACKED AIRCRAFT"
1134083,1996-08-01,"UNKNOWN",NA,"GOVERNMENT","PA-18 SUPER CUB",998,"Sharp-tailed grouse","DURING ROUTINE FLIGHT TO HUNT COYOTES, MEN WALKING ON GROUND  BELOW A/C, FLUSHED 30-40 GROUSE. 1 FLEW UP & BROKE LEFT HALF OF  WINDSHLD COMPLETELY OUT.  GLASS HIT OCCUPANTS, BUT NO SERIOUS  INJURIES.  FABRIC WAS TORN ON WING & SIDE WINDOW WAS ALSO BROKEN.  A/C LANDED AT HEBRON, ND."
1169915,2021-12-22,"DENVER INTL AIRPORT","CO","AMERICAN AIRLINES","B-737-800",NA,"Great horned owl","Large Bird found immediately after AA500 departed RWY 17R.  Ops 8/Zeck verbally closed the runway immediately after the aircraft took off for electrical maintenance and found a partially eaten rabbit, then the remains of what appears to be an owl just a little further down the runway.  The remains were still warm when they were removed so it was a fresh strike.  Also, more than an hour after writing this no arriving aircraft has reported a bird strike so I'm fairly sure AA500 is the culprit.https://www.flightradar24.com/AAL500/2a453ef0Partially eaten rabbit found near the remains of a large bird that may have been an owl.  AA500 departed just about 1 minute prior to Ops 8/Zeck closing the Runway for electrical work.  I'm fairly certain AA500 is the culprit that hit the rabbit.""Rabbit was found associated with strike; assume rabbit was being carried by GHOW""."
1199302,2021-09-28,"FORT LAUDERDALE/HOLLYWOOD INTL","FL","JETBLUE AIRWAYS","A-320",NA,"Least bittern","JetBlue aircraft departed rwy 10L and struck an unknown bird species on climb-out. The aircraft returned for a precautionary landing and inspection of the aircraft. The bird struck the windshield, but no damage was found after inspection at FLL. A snarge sample was collected to be sent to the Smithsonian Institution for identification. After the precautionary landing, the aircraft was able to depart to its original destination (GYE) at 2157 local. The aircraft landed at GYE at 0046, approximately 2 hours and 13 minutes after the scheduled arrival time of 2233. blood stain found above 1st officer windshield area.MOR: JBU1255 DEPARTED RWY 10R AT 2343Z AND WAS SWITCHED TO MIA DEPARTURE. AT 0021Z MIA APPROACH NOTIFIED TOWER JBU1255 WAS RETURNING DUE TO A BIRD STRIKE THAT OCCURED ON CLIMB OUT, EAST OF THE AIRPORT BOUNDARY. JBU1255 LANDED RWY 10L AT 0037Z AND TAXIED TO GATE F7 WITHOUT INCIDENT. JBU1255 PILOT CALLED TOWER AND ADVISED NO THERE WAS NO DAMAGE TO THE AIRCRAFT. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1.MOR: ZMA CALLED TO ADVISE JBU1255 ENCOUNTERED BIRD STRIKE.  PILOT TOLD ZMA OCURRED AROUND CLPSO INTERSECTION ESTIMATED ALTITUDE 040.  PILOT DID NOT ADVISE MIA, REPORT WAS MADE OVER COMMERCIAL TELEPHONE FROM ZMA.  ZMA ADVISED PILOT BELEIVES NO DAMAGE TO AIRCRAFT BUT COMPANY WAS REQUIRING A/C TO RETURN TO FLL.  JBU1255 LANDED WITHOUT INCIDENT AT 0036Z. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1.ADDT'L MOR: JBU1255 A320 FLL to SEGU requested to return to FLL on sector 6 frequency at 0003Z due to a bird strike. Negative emergency. Jetblue operations requested the aircraft return to FLL to conduct an inspection of the aircraft. JSEN and Miami Approach advised. Aircraft landed at 0036Z"
1214503,2022-03-09,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","During runway inspection, carcass of golden eagle spotted at rwy 30L near taxiway Lima. Carcass collected, missing left wing. DAY Smithsonian Wildlife/Species Identification:Golden eagle (Aquila chrysaetos)"
1216284,2021-05-18,"WINNIPEG INTL","MB","UPS AIRLINES","B-757-200",NA,"Unknown bird - small","Blood on Radome. No visible dents. SOURCE= UPS EVENT REPORT"
1229495,2022-03-24,"SALT LAKE CITY INTL","UT","BUSINESS","C-510 MUSTANG",53550,"Golden eagle","Bird struck leading edge of the right wing leaving a 6""x12"" dent. (Unknown cost at this time). The bird strike was reported to Airport Operations on 3/25/22. Engine Manufacturer P&W CANADA PW615F-A CORPORATE AIR SERVICE INC"
1240448,2016-09-01,"UNKNOWN",NA,"UNKNOWN","UNKNOWN",NA,"American goldfinch","Enroute. My son-in-law is a crop duster.  He found the bird smashed into his plane.  He tore the leg off what was left of the bird and brought me the leg with the tag on it.  Based on the very small piece of leg that I have, I cannot determine the species. Lat 39.16487; long -75.78999; Reported to Bird Banding Laboratory as How Obtained Code = 39 = ""Bird hit by airplane""; not reported to FAA as bird strike."
1257676,2022-05-30,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","DAY."
1280391,2022-07-16,"INDIRA GANDHI INTL","FN","UNITED AIRLINES","B-787-9",NA,"Indian pipistrelle","KEWR Wildlife Supervisor responded to gate B65 after a report of a bird strike.  Upon arrival, spoke with UA MX and found that crew had reported a bird strike to the windshield directly in front of the captain on the departure roll out of New Delhi International Airport with no effect on flight but were not available for additional information.  RWY 10 was used out of VIDP and was determined with flight tracking information. ENGINE= GENX-1B74/75/. SI ID= Indian pipistrelle (Pipistrellus coromandra)- species suggests strike occured on takeoff from VIDP."
1306115,2022-08-30,"UNKNOWN",NA,"GOVERNMENT","DRONE",107,"Unknown bird - small","UAV was being piloted at 4:30 pm for crop damage survey on property in Overton County, TN. During flight a bird became interested in the UAV and made several passes to investigate the vehicle. Pilot being aware of the bird, attempted to return the UAV to the landing site. During the return flight the bird made a final pass on the vehicle and made contact with the right front propeller blade. The result of the contact was a broken propeller blade and the UAV shutdown resulting in a crash in the field. The crash resulted in minimal damage to the UAV and no damage to any other property. There were no injuries associated with the crash. The UAV was recovered.Property: Minor (scuff, scrape, scratch, dent, ding, etc.)Height - approx. 100' aglSpeed - minimal, leaving hover to return to padRegistration #FA3CETAPPWOwner  - GOVTit was reportedly a small bird (swift or swallow). Damage Estimate: <$100database note: Report received from First Report Response,  Item ID: 4726"
1309795,2022-09-03,"INDIRA GANDHI INTL","FN","UNITED AIRLINES","B-787-9",NA,"Indian pipistrelle","United Maintenance Tech (Fernando), reported the birdstrike to PA Ops, when he observed blood splatter on the nose of the aircraft, during his inspection. No strikes were reported or any additional information were provided by the UAL83 crew. Sample collected KEWR. Engine ManufacturerGEClassificationStandardEngine ModelGENX SERIESSmithsonian Wildlife/Species Identification:Indian pipistrelle (Pipistrellus coromandra)Smithsonian Wildlife Identification Comments:United Airlines Flight 83 from New Delhi to Newark. Bat struck on takeoff from India."
1348980,2008-05-02,"FRAZIER LAKE AIRPARK","CA","PRIVATELY OWNED","EXPERIMENTAL",91665,"Canada goose","A/C = RV-7A DURING DEPARTURE FOR A TOUCH AND GO LANDING, A GOOSE HIT THE LEFT WING. THE A/C YAWED AND BANKED LEFT. PILOT TRIED TO STRAIGHTEN THE A/C AND LAND BUT THE A/C CONTD TO ROLL LEFT. THE LEFT WING HIT THE GROUND & A/C CART WHEELED. CRASHED IN A FIELD 500 FT SW OF RWY AT 021715PDT. A/C WAS DESTROYED. A LARGE GOOSE WAS FOUND N THE DEBRIS FIELD FOLLOWING THE ACCIDENT. (ASSUME CANADA GOOSE FROM DATE AND LOCATION).  (DATE REPTD AS MAY 1, 2 AND 3). ESTIMATE LOSS AT $63,000 BASED ON AVG COST OF A/C AND ENG. MINOR INJURIES. 2 PEOPLE ON BOARD."
1351214,2014-07-27,"DENVER INTL AIRPORT","CO","SKYWEST AIRLINES","CRJ700",NA,"Golden eagle","PIREP OF BIRD LYING ON RWY. AT FIRST, UNKN WHO HAD THE STRIKE.  SKW A/C EXPERIENCED A DELAYED DEPARTURE ON RETURN FLT FOR INSPN. HELD OVERNIGHT TO WAIT FOR ON DUTY MECHANICS. REMAINS COLLECTED FROM A/C AND RWY. HOWEVER, REMAINS FROM A/C. WERE DISCARDED AT KASE. SUSPECTED A/C DEPARTED 3 AHEAD OF A/C THAT REPORTED THE REMAINS ON RWY."
1351246,2011-05-31,"PIEDMONT TRIAD INTL","NC","UNKNOWN","UNKNOWN",NA,"American black bear","NOT A STRIKE BUT HAD A NEGATIVE EFFECT ON FLIGHT. THE BEAR WAS SPOTTED AROUND MIDNIGHT BUT FIRE FIGHTERS WHO WERE CALLED TO THE AREA LOST SIGHT OF IT. IT WAS SPOTTED AGAIN ABOUT 2AM BY FIREFIGHTERS WHO WERE USING NIGHT-VISION TECHNOLOGY TO TRACK ITS MOVEMENTS. ABOUT 6AM THE BEAR GOT IN FRONT OF A PLANE THAT WAS ATTEMPTING TO TAKE OFF, OFFICIALS SAID."
1365000,2022-05-16,"GALLATIN FIELD ARPT","MT","AMERICAN AIRLINES","B-737-800",NA,"Golden eagle","damage to compressor blades stator vanes and nose cowl, hot brakes on overweight landing. 10 miles SE of airportMOR:AAL1612 departed BZN at 2007Z. On climb out at 8,000ft they had a bird strike, reported as a turkey vulture or some other large bird. Aircraft returned to BZN for landing. Landed safely at 2028Z. Upon inspection First Officer reported the right engine did sustain damage."
1365573,1994-05-16,"UNKNOWN",NA,"BUSINESS","BELL 47",NA,"Unknown bird - medium","1 FATALITY. WITNESSES HEAR A LOUD NOISE & SAW AN OBJECT SEPARATE  FROM THE 2ND OF 2 HELICOPTERS. THIS A/C THEN IMPACTED INVERTED IN  THE BACK YARD OF A RESIDENCE. THE LEFT SYNCHRONIZED ELEVATOR &  END CAP WERE FOUND 240 FT AWAY. A DENT OF THE LE OF ONE OF THE  MAIN ROTORBLADES MATCHED THAT OF THE END CAP.  THE PILOT OF THE  1ST A/C SAID HE HAD WARNED THE 2ND PILOT OF A FLOCK OF BIRDS &  THAT HE HAD TO BANK SHARPLY TO AVOID HITTING THEM.  WHEN HE  RECEIVED NO REPLY, HE TURNED AROUND BUT THE OTHER A/C WAS NOT IN  SIGHT. NTSB CONCLUDED IN FLT LOSS OF CONTROL DUE TO IMPROPER USE  OF CYCLIC & COLLECTIVE CONTROLS WHEN HE MANEUVERED ABRUPTLY TO  AVOID HITTING A FLOCK OF BIRDS. FACTORS WERE THE INFLIGHT SEPARATION OF THE LEFT SYNCHRONIZED ELEVATOR & THE BIRDS."
1371624,2022-09-19,"SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","US CUSTOMS AND BORDER PROTECTION","DRONE",NA,"Horned lark","No damage. Aircraft cleaned, inspected and returned to service. Nose radome and wing pylon. Smithsonian Wildlife/Species Identification:Horned lark (Eremophila alpestris)TWO PHOTOS. CBP119REVISED FROM MQ9 (UA) TO DRONE"
1406362,2023-01-09,"DANIEL K. INOUYE INTERNATIONAL AIRPORT","HI","UNKNOWN","UNKNOWN",NA,"American barn owl","Found at the Runway 4R Threshold, just east of centerline, while conducting morning inspection.  Head found in RSA 20 feet away, mouse also retrieved. DAYBarn Owl, Identified by Wildlife Services"
1407429,2014-07-10,"BRADLEY INTL","CT","UNKNOWN COMMERCIAL","UNKNOWN",NA,"American black bear","NOT A STRIKE BUT INSTRUCTED TO LAND ON ALTERNATE RWY. A BLACK BEAR CLIMBED OVER THE PERIMETER FENCE OF THE AIRPORT AND PROCEEDED INTO AN AREA ADJ TO THE ACTIVE RWY. THE RWY WAS TEMPORARILY CLOSED TO ENSURE THAT NO A/C WOULD STRIKE THE BEAR. SEVERAL A/C WERE INSTRUCTED TO LAND ON  AN ALTERNATE RWY. THIS WAS NOT A PHYSICAL STRIKE BUT DID HAVE AN IMPACT ON SEVERAL LANDING FLIGHTS. ATC - ALTERNATE RWY FOR SEVERAL LANDING FLIGHTS"
1409270,2017-08-29,"NASA SHUTTLE LANDING FACILITY","FL","GOVERNMENT","F/A-18",NA,"Short-tailed hawk","Broken and bent engine blades.  NASA NEIL A ARMSTRONG FLIGHT RESEARCH CENTER . 1 nm northSI ID = Short-tailed Hawk (Buteo brachyurus)"
1409474,1995-06-03,"JOHN F KENNEDY INTL","NY","AIR FRANCE","CONCORDE",12336000,"Canada goose","FLT 002, NO INJURIES, PLANE LANDED SAFELY AFTER INGESTING SEVERAL GEESE INTO ENGINES. FLAMES AND SMOKE CAME FROM #3 & #4 ENGINES  UNDER RT WING. PLANE WAS TOWED TO TERMINAL FROM RY.  ARFF RESPONDED BUT FIRE WAS EXTINGUISHED BY THAT TIME. BENT INLET & COMPRESSOR STATORS IN #3 ENG. #4 ENG DAMAGED FROM DEBRIS FROM #3  ENG. BOTH ENGINES TO BE REPLACED. 5 GEESE WERE HIT.  TIME = 0900  EST.  A/C GROUNDED FOR 5 DAYS. TOTAL COSTS OVER $9 MILLION. PORT  AUTHORITY HAD $5.3 MILLION IN DAMAGES AS THE RESULT OF A LAW  SUIT. UNCONTAINED FAILURE."
1410575,2007-03-03,"UNKNOWN",NA,"BUSINESS","HUGHES 369",NA,"Moose","A/C WAS HOVERING WHEN IT'S TAIL ROTOR WAS STRUCK BY A MOOSE DURING A GAME MANAGEMENT OPERATION ABOUT 1 MI SW OF GUSTAVUS AIRPORT, AK. 2 ON BOARD NOT INJURED. MOOSE HAD BEEN SHOT WITH TRANQUILIZER AND HELICOPTER WAS BLOCKING MOOSE FROM GETTING INTO WATER.  MOOSE CHARGED THE TAIL ROTOR. PILOT DID NOT KNOW MOOSE HAD HIT AND THOUGHT HE HAD LOST DIRECTIONAL CONTROL. HE PERFORMED A HOVERING AUTOROTATION TO THE GROUND. A/C TAIL WAS SEVERED.  MOOSE HAD TO BE EUTHANIZED DUE TO SEVERE INJURIES."
1410730,2008-02-25,"SAN ANGELO REGNL ARPT/MATHIS FIELD","TX","GOVERNMENT","T-38A",NA,"Sandhill crane","ID BY SMITHSONIAN,, FAA 2352 A & B.  MULTIPLE BIRDSTRIKES DURING DESCENT FOR PRACTICE APPROACHES. DESCENDING THROUGH 6000 FT MSL (4000 FT AGL) AT 250 KTS, ENCOUNTERED A FLOCK OF WHAT APPEARED TO BE BUZZARDS BETWEEN 16-20 MILES S OF AIRFIELD. HIT BY AT LEAST 2 IN FRONT OF WINDSCREEN AND RT AVIONICS BAY DOOR. BOTH SAMPLES SENT TO SMITHSONIAN WERE FROM THE ENG AND BOTH WERE SANDHILL CRANES."
1411890,2023-03-23,"DANIEL K. INOUYE INTERNATIONAL AIRPORT","HI","UNITED AIRLINES","B-757-300",NA,"American barn owl","A barn owl leg was found by United on post-flight inspection, hanging down from the wing. WS identified it as a barn owl. Model757-324, Engine ManufacturerROLLS-ROYCClassificationStandardEngine ModelRB-211 SERIES"
1412850,2023-04-06,"GREENVILLE-SPARTANBURG INTL","SC","UNKNOWN","UNKNOWN",NA,"Common loon","Bird was completely intact. Appeared to have died from a broken neck from impacting the runway. Found at the midpoint of Rwy 22 about 20' east of the centerline. An arriving aircraft reported a dead racoon on the runway to Tower. When Ops responded, we found a medium sized dead bird instead. Unknown which aircraft caused the bird to impact the runway. DAY. 1 PHOTO."
1425670,2023-04-23,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","ASSUME 1 STRUCK"
1431818,2023-02-24,"ORLANDO SANFORD INTL ARPT","FL","ALLEGIANT AIR","A-320",NA,"Bald eagle","We were taking off out of SFB on runway 9L. Weather was foggy with 2 miles vis reported.   The take off started out normal with the captain flying.  As the FO was making the 80 kt call I noticed a large dark colored bird take flight in front of us from right to left.  The first bird cleared the aircraft without a problem.  When it was clear we noticed a second large bird taking flight.  It was a bald eagle. We were below 100 kt so I rejected the take off in hopes of avoiding the bird.  It did not work and the bird hit the nose dome with a large thud.  We cleared the runway and let tower and company know we wanted to return to the gate.  The flight returned with no problem.  During the post flight inspection it was noticed bird debris on the nose cone and on number 1 engine spinner.ModelA320-214, Engine ManufacturerUnknownClassificationUnknownEngine ModelUnknownSECOND REPORT:No damage. Bald eagle located appx 1000' marker on 9L. Pilot stated they never saw bird due to fog until last moment. Two eagles crossed their path. MOR: AAY1313 (A320), cleared for take off RWY 9L, had a bird strike and exited RWY 9L at B3. AAY1313 taxied back to the gate without any extra assistance needed. Airport ops inspected RWY 9L and removed bird debris. No LoSS. AAY1313 will call if there is damage to the aircraft.   Update- Airport Ops called and advised no damage to the aircraft. Update- Pilot called and reported minor damage to engine 1. Paperwork has been filled out."
1434149,2009-01-15,"LA GUARDIA ARPT","NY","US AIRWAYS","A-320",52560000,"Canada goose","ID BY SMITHSONIAN, FAA 3000. NTSB DCA09MA026. A/C INCURRED MULTIPLE BIRDSTRIKES DURING INITIAL CLIMB, LOST THRUST IN BOTH ENGINES AND LANDED IN THE HUDSON RIVER. THERE WERE 150 PASSENGERS AND FIVE FLIGHT CREW  ON BOARD.  ONE SERIOUS INJURY WAS REPORTED. NO FATALITIES. PASSENGERS WERE RESCUED BY FERRY BOATS, POLICE BOATS AND US COAST GUARD.  ORGANIC SAMPLES (TISSUE, FEATHERS, ETC) WERE RECOVERED FROM AIRCRAFT FUSELAGE, A WING AND BOTH ENGINES BY USDA WS PERSONNEL. INSURANCE PAYMENT FOR AIRFAME AND ENGINES WAS $36 MILLION. SEE NTSB 213 PAGE REPORT FOR DETAILS."
1436444,2023-05-29,"EXECUTIVE ARPT","FL","BUSINESS","LEARJET-31",NA,"Sandhill crane","Appeared to be a Sandhill crane. NOTE: OWNER/ OPERATOR= BUNCH OF BIRDIES LLC/ Elite Air Inc.  NUMBER STRUCK NOT REPORTED ASSUME 1."
1437874,2007-10-12,"DENVER INTL AIRPORT","CO","SKYWEST AIRLINES","CRJ700",NA,"Sandhill crane","ID BY SMITHSONIAN. BIRDS FIRST REPTD AS GEESE.  PILOT REPORTED HITTING A FLOCK OF BIRDS. 1 WAS INGESTED, 1 DENTED THE LE OF L WING. PILOT HEARD 3-4 THUDS THEN RT ENG BEGAN RUNNING ROUGH.  PILOT REPTD TO TWR OF AN EMERG LANDING STATING HE DIDN'T THINK HE WAS GOING TO BE ABLE TO MAKE IT BACK TO THE AIRPT AND AN AMBER ALERT WAS DECLARED. PLANE LANDED AND TAXIED TO RAMP WHERE REMAINS WERE SCRAPED FROM THE LE OF WING. (ARPT LOG SHOWS STRIKE WAS OCT 12 NTSB REPORTS IT AS OCT 12 AND ENG MANU AS OCT 13). PHOTOS OF DMG. ALT REPTD AS 2500' AGL AND 1500' AGL. PILOT REDUCED ENG TO IDLE DUE TO HIGH FAN VIBES, NOT AN IN FLIGHT SHUT DOWN. FAN BLADE DMG. ENG REMOVAL DUE TO FAN EXIT GUIDE VANE DMG AND FAN CASE DMG. THE HPC WAS ACCEPTABLE."
1451111,2023-07-18,"AMSTERDAM SCHIPHOL","FN","DELTA AIR LINES","A-330",NA,"Common swift","A330-323, Engine ManufacturerP & WClassificationStandardEngine ModelPW4168ASmithsonian Wildlife/Species Identification:Common swift (Apus apus)Smithsonian Wildlife Identification Comments:species suggests strike occurred on departure from Amsterdam (AMS)"
